month,year,pf_id,status,local_time,op_months,fixed_price,avg_energy_MWh,degradation_factor,revenue,opex,interest,debt_repay,gross_cf,tax,after_tax_fcf,token_cf_75pct,distribution,nav_contribution,curtailment,contracted_price
333,27.75,25,PRE,9,0,243.41,107.71,1.0,26218885.0,1666667.0,1666667.0,2222222.0,20663330.0,4545933.0,16117397.0,12088048.0,0.0,1801213346.0,0,
334,27.83,5,POST,250,238,217.92,106.66,0.905367,21042996.0,1666667.0,1666667.0,0.0,17709663.0,3896126.0,13813537.0,10360153.0,10360153.0,18644891.0,0,217.92
334,27.83,6,POST,238,226,202.41,106.66,0.909916,19644145.0,1666667.0,1666667.0,0.0,16310811.0,3588378.0,12722433.0,9541825.0,9541825.0,117899365.0,0,202.41
334,27.83,7,POST,226,214,198.62,106.66,0.914489,19373022.0,1666667.0,1666667.0,0.0,16039689.0,3528732.0,12510957.0,9383218.0,9383218.0,211228469.0,0,198.62
334,27.83,8,POST,214,202,210.81,106.66,0.919084,20665314.0,1666667.0,1666667.0,0.0,17331980.0,3813036.0,13518945.0,10139209.0,10139209.0,327323508.0,0,210.81
334,27.83,9,POST,202,190,216.44,106.66,0.923702,21323605.0,1666667.0,1666667.0,0.0,17990272.0,3957860.0,14032412.0,10524309.0,10524309.0,438734995.0,0,216.44
334,27.83,10,POST,190,178,251.22,106.66,0.928344,24874996.0,1666667.0,1666667.0,2222222.0,19319440.0,4250277.0,15069163.0,11301873.0,11301873.0,573477958.0,0,251.22
334,27.83,11,POST,178,166,270.52,106.66,0.933009,26920110.0,1666667.0,1666667.0,2222222.0,21364554.0,4700202.0,16664352.0,12498264.0,12498264.0,743153847.0,0,270.52
334,27.83,12,POST,166,154,267.81,106.66,0.937698,26784205.0,1666667.0,1666667.0,2222222.0,21228649.0,4670303.0,16558347.0,12418760.0,12418760.0,842719934.0,0,267.81
334,27.83,13,POST,154,142,265.18,106.66,0.94241,26654498.0,1666667.0,1666667.0,2222222.0,21098943.0,4641767.0,16457175.0,12342882.0,12342882.0,937443187.0,0,265.18
334,27.83,14,POST,142,130,267.36,106.66,0.947146,27009235.0,1666667.0,1666667.0,2222222.0,21453679.0,4719809.0,16733870.0,12550402.0,12550402.0,1051077400.0,0,267.36
334,27.83,15,POST,130,118,266.86,106.66,0.951905,27093403.0,1666667.0,1666667.0,2222222.0,21537847.0,4738326.0,16799521.0,12599641.0,12599641.0,1149927673.0,0,266.86
334,27.83,16,POST,118,106,258.82,106.66,0.956688,26409746.0,1666667.0,1666667.0,2222222.0,20854190.0,4587922.0,16266268.0,12199701.0,12199701.0,1201878673.0,0,258.82
334,27.83,17,POST,106,94,254.5,106.66,0.961496,26099585.0,1666667.0,1666667.0,2222222.0,20544030.0,4519687.0,16024343.0,12018257.0,12018257.0,1268062887.0,0,254.5
334,27.83,18,POST,94,82,275.19,106.66,0.966328,28363284.0,1666667.0,1666667.0,2222222.0,22807728.0,5017700.0,17790028.0,13342521.0,13342521.0,1497844398.0,0,275.19
334,27.83,19,POST,82,70,279.89,106.66,0.971184,28991721.0,1666667.0,1666667.0,2222222.0,23436166.0,5155956.0,18280209.0,13710157.0,13710157.0,1628446723.0,0,279.89
334,27.83,20,POST,70,58,247.51,106.66,0.976064,25767285.0,1666667.0,1666667.0,2222222.0,20211729.0,4446580.0,15765149.0,11823861.0,11823861.0,1478796317.0,0,247.51
334,27.83,21,POST,58,46,233.41,106.66,0.980969,24421390.0,1666667.0,1666667.0,2222222.0,18865834.0,4150484.0,14715351.0,11036513.0,11036513.0,1447409192.0,0,233.41
334,27.83,22,POST,46,34,236.52,106.66,0.985898,24871328.0,1666667.0,1666667.0,2222222.0,19315772.0,4249470.0,15066302.0,11299727.0,11299727.0,1548307730.0,0,236.52
